Cohiba Robustos Supremos Ed. Lim. 2014                                  ,10     ,60.00  ,600.00€ ,                        ,                          ,
EP Carrillo Inch 70 Natural                                             ,24     ,15.50  ,372.00€ ,dominican-cigars        ,full-boxes                ,
EP Carrillo Inch 70 Maduro                                              ,24     ,15.50  ,372.00€ ,dominican-cigars        ,full-boxes                ,
A. Flores Half Corona Black Sungrown                                    ,5      ,4.60   ,23.00€  ,dominican-cigars        ,full-boxes                ,
A. Flores Half Corona Red                                               ,5      ,4.60   ,23.00€  ,dominican-cigars        ,full-boxes                ,
A. Flores Robusto Corojo Ed. Lim. 2006                                  ,24     ,12.50  ,300.00€ ,dominican-cigars        ,full-boxes                ,
Cuesta Rey Aristocrat Natural Tubos                                     ,10     ,12.50  ,125.00€ ,dominican-cigars        ,full-boxes                ,
Cuesta Rey Pyramid N°9 Maduro                                           ,10     ,11.10  ,111.00€ ,dominican-cigars        ,full-boxes                ,
Cuesta Rey Robusto N°7 Natural                                          ,10     ,9.00   ,90.00€  ,dominican-cigars        ,full-boxes                ,
La Flor Dominicana Double Ligero DL 700                                 ,20     ,10.90  ,218.00€ ,dominican-cigars        ,full-boxes                ,
La Flor Dominicana Double Ligero DL 600                                 ,20     ,8.90   ,178.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Pussy Cats                                                       ,39     ,20.00  ,780.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Reserva D'Chateau                                                ,32     ,31.00  ,992.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Belicoso XXX                                                     ,42     ,21.00  ,882.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Double Corona                                                    ,32     ,34.00  ,1088.00€,dominican-cigars        ,full-boxes                ,
Opus X Robusto                                                          ,29     ,26.00  ,754.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Super Belicoso                                                   ,29     ,27.00  ,783.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Tin Perfecxion X                                                 ,3      ,30.00  ,90.00€  ,dominican-cigars        ,full-boxes                ,
Opus X Tin Reserva D'Chateau                                            ,03     ,34.00  ,102.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Tin Robusto                                                      ,3      ,28.00  ,84.00€  ,dominican-cigars        ,full-boxes                ,
Opus X Double Robusto                                                   ,42     ,29.20  ,1226.40€,dominican-cigars        ,full-boxes                ,
Opus X Fuente Fuente                                                    ,32     ,22.00  ,704.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Perfecxion N°5                                                   ,42     ,19.00  ,798.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Perfecxion N°2                                                   ,29     ,34.00  ,986.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Perfecxion N°4                                                   ,42     ,21.00  ,882.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Perfecxion X                                                     ,32     ,27.00  ,864.00€ ,dominican-cigars        ,full-boxes                ,
Opus X Petite Lancero                                                   ,32     ,22.90  ,732.80€ ,dominican-cigars        ,full-boxes                ,
Zino Classic N°8 A.T.                                                   ,10     ,11.20  ,112.00€ ,dominican-cigars        ,full-boxes                ,
Zino Platinum Z-Class Robusto                                           ,20     ,9.50   ,190.00€ ,dominican-cigars        ,full-boxes                ,
Zino Platinum Z-Class Toro                                              ,20     ,10.50  ,210.00€ ,dominican-cigars        ,full-boxes                ,
Zino Classic N°1 A.T.                                                   ,10     ,8.90   ,89.00€  ,dominican-cigars        ,full-boxes                ,
Zino Classis N°6 A.T.                                                   ,10     ,8.80   ,88.00€  ,dominican-cigars        ,full-boxes                ,
Zino Classic N°7 A.T.                                                   ,10     ,6.90   ,69.00€  ,dominican-cigars        ,full-boxes                ,
La Ribera Original Robusto                                              ,10     ,2.85   ,28.50€  ,dominican-cigars        ,full-boxes                ,la-ribera
La Ribera Original Mareva                                               ,10     ,2.50   ,25.00€  ,dominican-cigars        ,full-boxes                ,la-ribera
La Ribera Original Magnum                                               ,10     ,3.90   ,39.00€  ,dominican-cigars        ,full-boxes                ,la-ribera
La Ribera Original Gordo                                                ,10     ,3.20   ,32.00€  ,dominican-cigars        ,full-boxes                ,la-ribera
La Ribera Original Churchill                                            ,10     ,3.20   ,32.00€  ,dominican-cigars        ,full-boxes                ,la-ribera
La Ribera Original Perla                                                ,10     ,2.20   ,22.00€  ,dominican-cigars        ,full-boxes                ,la-ribera
La Ribera Nicaragua Robusto                                             ,10     ,3.20   ,32.00€  ,dominican-cigars        ,full-boxes                ,la-ribera
Paradiso Papagayo                                                       ,21     ,8.90   ,186.90€ ,dominican-cigars        ,full-boxes                ,
Paradiso Papagayo XXL                                                   ,21     ,9.50   ,199.50€ ,dominican-cigars        ,full-boxes                ,
Paradiso Prophet                                                        ,24     ,8.50   ,204.00€ ,dominican-cigars        ,full-boxes                ,
Paradiso Leviathan                                                      ,24     ,9.90   ,237.60€ ,dominican-cigars        ,full-boxes                ,
Ashton Magnum                                                           ,25     ,9.90   ,247.50€ ,dominican-cigars        ,full-boxes                ,
Ashton VSG Robusto                                                      ,24     ,11.90  ,285.60€ ,dominican-cigars        ,full-boxes                ,
Arturo Fuente Gran Reserva Petit Corona                                 ,25     ,6.40   ,160.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva Rothschilds                                  ,25     ,7.70   ,192.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva 8-5-8                                        ,25     ,8.30   ,207.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva Brevas Royal Natural                         ,50     ,3.20   ,160.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva Cañones                                      ,20     ,12.60  ,252.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva Cubanitos                                    ,10     ,2.60   ,26.00€  ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva Curly Head de Luxe Natural                   ,25     ,4.20   ,105.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva Exquisitos Maduro                            ,50     ,3.40   ,170.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Gran Reserva N°4                                          ,25     ,7.20   ,180.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Rosado Magnum R54                                         ,25     ,11.60  ,290.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Rosado Magnum R56                                         ,25     ,11.00  ,275.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Rosado Magnum R58                                         ,25     ,11.30  ,282.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Rosado Magnum R60                                         ,24     ,19.00  ,456.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Rosado Magnum R52                                         ,25     ,10.20  ,255.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Hemingway Signature                                       ,25     ,12.70  ,317.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Hemingway Untold Story                                    ,25     ,31.00  ,775.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Hemingway Work of Art                                     ,25     ,14.40  ,360.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Hemingway Best Seller                                     ,25     ,10.80  ,270.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Hemingway Classic                                         ,25     ,14.40  ,360.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Hemingway Masterpiece                                     ,10     ,28.00  ,280.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Hemingway Short Story                                     ,25     ,9.00   ,225.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Chateau Fuente King B                                     ,18     ,13.90  ,250.20€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Chateau Fuente King T                                     ,4      ,17.00  ,68.00€  ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Chateau Fuente Queen B                                    ,18     ,11.00  ,198.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Chateau Fuente King T                                     ,24     ,17.00  ,408.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Chateau Fuente King T Rosado                              ,24     ,17.00  ,408.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Chateau Fuente                                            ,20     ,8.00   ,160.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Double Chateau Fuente                                     ,20     ,10.30  ,206.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Don Carlos N°2                                            ,25     ,21.00  ,525.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Don Carlos N°3                                            ,25     ,14.40  ,360.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Don Carlos Robusto                                        ,25     ,15.60  ,390.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 50                                                  ,25     ,19.00  ,475.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 55                                                  ,25     ,22.90  ,572.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 77                                                  ,20     ,21.00  ,420.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 46                                                  ,25     ,17.00  ,425.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 48                                                  ,25     ,20.20  ,505.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 49                                                  ,25     ,22.90  ,572.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Davidoff Millenium Blend Toro                                           ,4      ,21.00  ,84.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Millenium Blend Short Robusto                                  ,4      ,14.00  ,56.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Millenium Blend Robusto A.T.                                   ,3      ,18.00  ,54.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Diadema                                              ,4      ,19.00  ,76.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Robusto                                              ,12     ,15.00  ,180.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Robusto                                              ,4      ,15.00  ,60.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Short Corona                                         ,14     ,9.90   ,138.60€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Short Corona                                         ,5      ,9.90   ,49.50€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Toro                                                 ,12     ,18.00  ,216.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Toro                                                 ,4      ,18.00  ,72.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Diadema                                              ,12     ,19.00  ,228.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Colorado Claro Short Perfecto                                  ,4      ,13.90  ,55.60€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Colorado Claro Short Perfecto                                  ,25     ,13.90  ,347.50€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Gordito                                             ,25     ,14.40  ,360.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Gordito                                             ,4      ,15.00  ,60.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Magnificos                                          ,25     ,17.00  ,425.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Magnificos                                          ,4      ,17.00  ,68.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Momentos                                            ,5      ,5.40   ,27.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Tubos Assortment                                               ,3      ,14.73  ,44.20€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Pause Time Out Assortment                                      ,5      ,8.80   ,44.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Inspirational Robusto Assortment                               ,3      ,18.33  ,55.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Robustos Tubos                                         ,4      ,15.90  ,63.60€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Robustos Tubos                                         ,12     ,15.90  ,190.80€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Petit Robusto                                          ,4      ,10.50  ,42.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Petit Robusto                                          ,14     ,10.50  ,147.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Grand Toro                                             ,4      ,18.40  ,73.60€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Grand Toro                                             ,12     ,18.40  ,220.80€ ,dominican-cigars        ,full-boxes                ,davidoff
